Symbol,Company,Sector
AAV,Advantage Oil & Gas Ltd.,Energy
ARE,Aecon Group Inc.,Industrials
AEM,Agnico Eagle Mines Limited,Materials
AGU,Agrium Inc.,Materials
AIM,Aimia Inc.,Consumer Discretionary
AC,Air Canada,Industrials
ASR,Alacer Gold Corp.,Materials
AGI,Alamos Gold Inc.,Materials
AD,Alaris Royalty Corp.,Financials
AQN,Algonquin Power & Utilities Corp.,Utilities
ATD.B,Alimentation Couche-Tard Inc.,Consumer Staples
AP.UN,Allied Properties Real Estate Investment Trust,Financials
ALA,AltaGas Ltd.,Energy
AYA,Amaya Inc.,Consumer Discretionary
ARX,ARC Resources Ltd.,Energy
AX.UN,Artis Real Estate Investment Trust,Financials
ACO.X,ATCO Ltd.,Utilities
ATH,Athabasca Oil Corporation,Energy
ATA,ATS Automation Tooling Systems Inc.,Industrials
ACQ,AutoCanada Inc.,Consumer Discretionary
AVO,Avigilon Corporation,Information Technology
BTO,B2Gold Corp.,Materials
BAD,Badger Daylighting Ltd.,Industrials
BMO,Bank of Montreal,Financials
BNS,Bank of Nova Scotia,Financials
ABX,Barrick Gold Corporation,Materials
BTE,Baytex Energy Corp.,Energy
BCE,BCE Inc.,Telecommunication Services
BIR,Birchcliff Energy Ltd.,Energy
BB,BlackBerry Limited,Information Technology
BEI.UN,Boardwalk Real Estate Investment Trust,Financials
BBD.B,Bombardier Inc.,Industrials
BNP,Bonavista Energy Corporation,Energy
BNE,Bonterra Energy Corp.,Energy
BYD.UN,Boyd Group Income Fund,Industrials
BAM.A,Brookfield Asset Management Inc.,Financials
BPY.UN,Brookfield Property Partners L.P.,Financials
BEP.UN,Brookfield Renewable Energy Partners L.P.,Utilities
DOO,BRP Inc.,Consumer Discretionary
CAE,CAE Inc.,Industrials
CCO,Cameco Corporation,Energy
CF,Canaccord Genuity Group Inc.,Financials
CAR.UN,Canadian Apartment Properties Real Estate Investment Trust,Financials
CEU,Canadian Energy Services & Technology Corp.,Energy
CM,Canadian Imperial Bank of Commerce,Financials
CNR,Canadian National Railway Company,Industrials
CNQ,Canadian Natural Resources Limited,Energy
COS,Canadian Oil Sands Limited,Energy
CP,Canadian Pacific Railway Limited,Industrials
REF.UN,Canadian Real Estate Investment Trust,Financials
CTC.A,Canadian Tire Corporation Limited,Consumer Discretionary
CU,Canadian Utilities Limited,Utilities
CWB,Canadian Western Bank,Financials
CFP,Canfor Corporation,Materials
CPX,Capital Power Corporation,Utilities
CCL.B,CCL Industries Inc.,Materials
CLS,Celestica Inc.,Information Technology
CVE,Cenovus Energy Inc.,Energy
CG,Centerra Gold Inc.,Materials
GIB.A,CGI Group Inc.,Information Technology
CSH.UN,Chartwell Retirement Residences,Financials
CHE.UN,Chemtrade Logistics Income Fund,Materials
CIX,CI Financial Corp.,Financials
CGX,Cineplex Inc.,Consumer Discretionary
CCA,Cogeco Communications Inc.,Consumer Discretionary
CIG,Colliers International Group Inc.,Financials
CUF.UN,Cominar Real Estate Investment Trust,Financials
CMG,Computer Modelling Group Ltd.,Information Technology
CXR,Concordia Healthcare Corp.,Health Care
CSU,Constellation Software Inc.,Information Technology
CJR.B,Corus Entertainment Inc.,Consumer Discretionary
BCB,Cott Corporation,Consumer Staples
CPG,Crescent Point Energy Corp.,Energy
CR,Crew Energy Inc.,Energy
CRR.UN,Crombie Real Estate Investment Trust,Financials
DSG,Descartes Systems Group Inc.,Information Technology
DGC,Detour Gold Corporation,Materials
DH,DH Corporation,Financials
DHX.B,DHX Media Ltd.,Consumer Discretionary
DOL,Dollarama Inc.,Consumer Discretionary
DDC,Dominion Diamond Corporation,Materials
DII.B,Dorel Industries Inc.,Consumer Discretionary
DRG.UN,Dream Global Real Estate Investment Trust,Financials
D.UN,Dream Office Real Estate Investment Trust,Financials
ELD,Eldorado Gold Corporation,Materials
EFN,Element Financial Corporation,Financials
EMA,Emera Incorporated,Utilities
EMP.A,Empire Company Limited,Consumer Staples
ENB,Enbridge Inc.,Energy
ENF,Enbridge Income Fund Holdings Inc.,Energy
ECA,Encana Corporation,Energy
ECI,EnerCare Inc.,Industrials
EFX,Enerflex Ltd.,Energy
ERF,Enerplus Corporation,Energy
ESL,Enghouse Systems Limited,Information Technology
ESI,Ensign Energy Services Inc.,Energy
EXE,Extendicare Inc.,Health Care
FFH,Fairfax Financial Holdings Limited,Financials
FTT,Finning International Inc.,Industrials
FCR,First Capital Realty Inc.,Financials
FR,First Majestic Silver Corp.,Materials
FM,First Quantum Minerals Ltd.,Materials
FSV,FirstService Corporation,Financials
FTS,Fortis Inc.,Utilities
FNV,Franco-Nevada Corporation,Materials
FRU,Freehold Royalties Ltd.,Energy
MIC,Genworth MI Canada Inc.,Financials
WN,George Weston Limited,Consumer Staples
GEI,Gibson Energy Inc.,Energy
GIL,Gildan Activewear Inc.,Consumer Discretionary
G,Goldcorp Inc.,Materials
GTE,Gran Tierra Energy Inc.,Energy
GRT.UN,Granite Real Estate Investment Trust,Financials
GC,Great Canadian Gaming Corporation,Consumer Discretionary
GWO,Great-West Lifeco Inc.,Financials
HR.UN,H&R Real Estate Investment Trust,Financials
HCG,Home Capital Group Inc.,Financials
HBM,HudBay Minerals Inc.,Materials
HBC,Hudson's Bay Company,Consumer Discretionary
HSE,Husky Energy Inc.,Energy
IMG,Iamgold Corporation,Materials
IGM,IGM Financial Inc.,Financials
IMO,Imperial Oil Limited,Energy
IAG,Industrial Alliance Insurance and Financial Services Inc.,Financials
INE,Innergex Renewable Energy Inc.,Utilities
IFC,Intact Financial Corporation,Financials
IPL,Inter Pipeline Ltd.,Energy
IFP,Interfor Corporation,Materials
ITP,Intertape Polymer Group Inc.,Materials
PJC.A,Jean Coutu Group Inc.,Consumer Staples
JE,Just Energy Group Inc.,Utilities
KEL,Kelt Exploration Ltd.,Energy
KEY,Keyera Corp.,Energy
KXS,Kinaxis Inc.,Information Technology
K,Kinross Gold Corporation,Materials
LIF,Labrador Iron Ore Royalty Corporation,Materials
LB,Laurentian Bank of Canada,Financials
LNR,Linamar Corporation,Consumer Discretionary
L,Loblaw Companies Limited,Consumer Staples
LUN,Lundin Mining Corporation,Materials
MDA,MacDonald Dettwiler and Associates Ltd,Information Technology
MG,Magna International Inc.,Consumer Discretionary
MBT,Manitoba Telecom Services Inc.,Telecommunication Services
MFC,Manulife Financial Corporation,Financials
MFI,Maple Leaf Foods Inc.,Consumer Staples
MRE,Martinrea International Inc.,Consumer Discretionary
MEG,MEG Energy Corp.,Energy
MX,Methanex Corporation,Materials
MRU,Metro Inc.,Consumer Staples
MNW,Mitel Networks Corporation,Information Technology
MTL,Mullen Group Ltd.,Energy
NA,National Bank of Canada,Financials
NSU,Nevsun Resources Ltd.,Materials
NFI,New Flyer Industries Inc.,Industrials
NGD,New Gold Inc.,Materials
NBD,Norbord Inc.,Materials
NPI,Northland Power Inc.,Utilities
NVU.UN,Northview Apartment Real Estate Investment Trust,Financials
NG,NovaGold Resources Inc.,Materials
NVA,NuVista Energy Ltd.,Energy
OGC,OceanaGold Corporation,Materials
OCX,Onex Corporation,Financials
OTC,Open Text Corporation,Information Technology
OR,Osisko Gold Royalties Ltd,Materials
PAA,Pan American Silver Corp.,Materials
POU,Paramount Resources Ltd.,Energy
PXT,Parex Resources Inc.,Energy
PKI,Parkland Fuel Corporation,Energy
PSI,Pason Systems Inc.,Energy
PPL,Pembina Pipeline Corporation,Energy
PGF,Pengrowth Energy Corporation,Energy
PWT,Penn West Petroleum Ltd.,Energy
PSG,Performance Sports Group Ltd.,Consumer Discretionary
PEY,Peyto Exploration & Development Corp.,Energy
POT,Potash Corporation of Saskatchewan Inc.,Materials
POW,Power Corporation of Canada,Financials
PWF,Power Financial Corporation,Financials
PSK,PrairieSky Royalty Ltd.,Energy
PD,Precision Drilling Corporation,Energy
PVG,Pretium Resources Inc.,Materials
P,Primero Mining Corp.,Materials
BIN,Progressive Waste Solutions Ltd.,Industrials
PLI,ProMetic Life Sciences Inc.,Health Care
AAR.UN,Pure Industrial Real Estate Trust,Financials
QBR.B,Quebecor Inc.,Consumer Discretionary
RRX,Raging River Exploration Inc.,Energy
QSR,Restaurant Brands International Inc.,Consumer Discretionary
REI.UN,RioCan Real Estate Investment Trust,Financials
RBA,Ritchie Bros. Auctioneers Incorporated,Industrials
